provider_id,provider_name,lat,lng,radius_km,city,country_code
39719,"Мамо, я в шапці Броварський просп.",50.456772,30.614039,3.0,Kyiv,ua
80596,Asia Go,50.419392,30.52109,3.0,Kyiv,ua
115854,КУМА ШАУРМА Таїрова,46.39846,30.72279,3.0,Odesa,ua
154294,EatSushi Героїв Праці,50.02351,36.337134,3.0,Kharkiv,ua
162431,DOMINO’S PIZZA вул. В'ячеслава Чорновола,50.5162,30.78144,7.0,Brovary,ua
176728,Сімейна Піца/Сімейна  Пекарня,50.63437,26.27729,3.0,Rivne,ua
80468,Pesto Cafe Дніпровська набережна,50.39884,30.61704,3.0,Kyiv,ua
95200,Піца-Крила,50.443621,30.496194,3.0,Kyiv,ua
115044,Жуїстика Сільпо на Берестейському,50.458923,30.398857,3.0,Kyiv,ua
64161,Hellboy Піца Олександри Екстер,50.52274,30.61054,4.0,Kyiv,ua
70304,Striploin Burgers,50.429633,30.384059,3.0,Kyiv,ua
124514,Roll Club вул. М. Лаврухіна,50.517703,30.597856,3.0,Kyiv,ua
178753,EatSushi Миколаїв Лазурна,46.947347,31.940799,3.0,Mykolaiv,ua
8208,Porter Pub Жилянська,50.444648,30.492764,3.0,Kyiv,ua
48231,Sushi Master Академіка Вільямса,50.389805,30.463029,3.0,Kyiv,ua
153732,Vape Shop - вейп шоп №2,50.416106,30.459638,3.0,Kyiv,ua
172597,На гачку,49.240868,28.491126,3.0,Vinnytsia,ua
34693,Poke Oke б-р Чоколівський,50.432211,30.454389,3.0,Kyiv,ua
36576,Sushi Family просп. Героїв,48.41909,35.06186,3.0,Dnipro,ua
48543,Sushi Master Панікахи,48.39611,35.02745,4.5,Dnipro,ua
153505,"Кулиничі пекарня,піца / Kulinichi pizza,bakery вул. Гетьмана Полуботка",50.62032,26.24384,3.0,Rivne,ua
154250,EatSushi пр-т Берестейський,50.45741,30.40929,3.0,Kyiv,ua
25404,Chick'n'Rice Миколайчука,50.43508,30.60643,3.0,Kyiv,ua
194918,"Oh, Kelly",48.509269,32.265564,15.0,Kropyvnytskyi,ua
18294,Friends cafe,50.495418,30.523127,3.0,Kyiv,ua
21502,Chick'n'Rice Макіївська,50.50877,30.453118,3.0,Kyiv,ua
51087,All Stars by ASAP Урлівська,50.4072,30.61814,9.0,Kyiv,ua
72439,Roll Club Полтавський шлях,49.9841,36.18534,9.0,Kharkiv,ua
51194,All Stars by ASAP Яворницького,48.46428,35.04454,9.0,Dnipro,ua
64184,Hellboy Піца Драгоманова,50.413989,30.635985,4.0,Kyiv,ua
128530,Royal Kebab вул. Малоголосівська,49.867154,23.999726,3.0,Lviv,ua
155199,Remeslo Brewery Перемоги,50.059773,36.202708,3.0,Kharkiv,ua
164062,“НЯМ by VARUS.UA” вул. Яворницького,48.464896,35.044214,3.0,Dnipro,ua
31809,MONOпіца Марини Цвєтаєвої,50.523135,30.609827,4.0,Kyiv,ua
57824,WeSushi пр-т Мартинова,50.3989,30.39253,3.0,Kyiv,ua
154265,EatSushi вул. Берчені,48.626089,22.301026,3.0,Uzhhorod,ua
115478,Remeslo Brewery вул. Миколи Бажана 8,50.39364,30.61145,3.0,Kyiv,ua
154178,EatSushi п-т Свободи,50.50574,30.43804,3.0,Kyiv,ua
170196,Urban Burger вул. Георгія Кірпи,50.438155,30.487447,3.0,Kyiv,ua
178750,WeSushi Миколаїв Лазурна,46.947347,31.940799,3.0,Mykolaiv,ua
72032,Umami Sushi Нижньодніпровська,48.529587,35.030897,3.0,Dnipro,ua
77864,Hariacha Patelnia,49.83748,24.03182,3.0,Lviv,ua
80477,Pesto Cafe Велика Окружна,50.42905,30.35646,3.0,Kyiv,ua
154158,EatSushi просп. Гагаріна,47.908487,33.406346,3.0,Kryvyi Rih,ua
154168,EatSushi Кірпи,50.437322,30.486234,3.0,Kyiv,ua
22522,Shanhayskiy kit/Шанхайський Кіт Іллєнка,50.466273,30.47425,3.0,Kyiv,ua
68046,1708 pizza di Napoli ЖК Вікінг парк,49.80938,24.06158,3.0,Lviv,ua
89596,WeSushi вул. Бірюкова,50.55015,30.19952,3.0,Irpin,ua
154133,Don Peperon Сім'ї Сосніних/Дзюби,50.4172,30.39256,3.0,Kyiv,ua
154210,EatSushi пр-т Гагаріна,50.44522,30.6262,3.0,Kyiv,ua
154271,EatSushi Сверстюка,50.447914,30.6022,3.0,Kyiv,ua
166437,Dono Піца Героїв України,48.549928,35.842446,3.0,Pavlohrad,ua
48380,Sushi Master Салютна,50.47173,30.40012,3.0,Kyiv,ua
57769,WeSushi Салютна,50.47176,30.40004,3.0,Kyiv,ua
85989,Food.prom Трінклера,50.00562,36.2327,3.0,Kharkiv,ua
118958,ШАУРМАМА вул. Михайла Гришка,50.3964,30.6319,3.0,Kyiv,ua
162711,Cucina della Mamma Мечникова,50.518801,30.21295,3.0,Irpin,ua
12210,Євразія Драгоманова,50.40532,30.63806,3.0,Kyiv,ua
22780,Mafia Людвіга,50.05688,36.2047,3.0,Kharkiv,ua
47134,Cinnabon Respublika Park,50.373684,30.446472,3.0,Kyiv,ua
72437,Roll Club Майдан Конституції,49.990828,36.233307,3.0,Kharkiv,ua
153431,"Кулиничі пекарня,піца / Kulinichi pizza,bakery вул. Наукова",49.804136,23.992692,3.0,Lviv,ua
164110,“НЯМ by VARUS.UA” вул. Ревуцького,50.41187,30.64545,3.0,Kyiv,ua
22484,Poke Oke Броварський просп.,50.456772,30.614039,3.0,Kyiv,ua
25987,Барбекю меню від ASAP Левка Лук'яненка,50.512178,30.492153,3.0,Kyiv,ua
46296,Sushi Family Метробудівська,48.4787,34.91285,4.0,Dnipro,ua
117819,WeSushi вул. Київська,49.090874,33.427428,3.0,Kremenchuk,ua
154253,EatSushi Святошинська 3А,50.45409,30.38863,3.0,Kyiv,ua
56482,DÖNER МАРКЕТ Лятошинського,50.378621,30.449153,3.0,Kyiv,ua
92292,"Той самий бургер вул. Грушевського, 66",49.23597,28.46454,3.0,Vinnytsia,ua
48365,Sushi Master Новосілки,50.353093,30.460012,3.0,Kyiv,ua
50944,Streets Левка Лук'яненка,50.512178,30.492153,9.0,Kyiv,ua
70301,Roll Pancake,50.429633,30.384059,3.0,Kyiv,ua
80465,Pesto Cafe Правди,50.503657,30.416508,3.0,Kyiv,ua
21503,Chick'n'Rice Федорова,50.427097,30.508818,3.0,Kyiv,ua
25984,Shanhayskiy kit/Шанхайський Кіт Левка Лук'яненка,50.512178,30.492153,3.0,Kyiv,ua
51872,Вічнозелені Софіївська Борщагівка,50.42469,30.36629,9.0,Kyiv,ua
52314,Панда їсть бамбук Іллєнка,50.466273,30.47425,9.0,Kyiv,ua
115046,Жуїстика Сільпо на Березневій,50.429716,30.61928,3.0,Kyiv,ua
